时间,等级,类型,代码,名称,现价,涨跌幅,正股涨跌幅,溢价率,评分,详情
09:32:57,B,正股大跌转债抗跌,127096,泰坦转债,778.00,-0.20%,-3.41%,7.61%,0.9,正股大跌-3.4% 转债仅-0.2% 抗跌
09:32:57,B,正股大跌转债抗跌,127080,声迅转债,291.34,-0.60%,-3.85%,26.82%,0.9,正股大跌-3.9% 转债仅-0.6% 抗跌
09:34:31,B,正股大跌转债抗跌,128127,文科转债,114.30,-0.20%,-3.16%,12.58%,0.7,正股大跌-3.2% 转债仅-0.2% 抗跌
09:36:24,B,正股大跌转债抗跌,127096,泰坦转债,772.23,-0.94%,-3.85%,7.30%,0.7,正股大跌-3.9% 转债仅-0.9% 抗跌
09:36:24,B,正股大跌转债抗跌,128127,文科转债,114.30,-0.20%,-3.16%,12.57%,0.7,正股大跌-3.2% 转债仅-0.2% 抗跌
09:36:39,B,股价大涨转债滞涨,113658,密卫转债,143.70,+0.93%,+3.20%,26.36%,0.3,正股大涨+3.2% 转债仅+0.9% 偏离2.3%
09:36:44,B,放量拉升,113644,艾迪转债,135.82,+1.02%,+0.76%,0.10%,0.0,"放量2.5x (均量327手/轮, 峰值824手) 成交额0.30亿 ⚠️强赎"
09:37:50,B,正股大跌转债抗跌,110084,贵燃转债,130.10,-0.00%,-3.04%,20.75%,0.8,正股大跌-3.0% 转债仅-0.0% 抗跌 🔗板块 地下管网/氢能源(均涨+2.3%)
09:38:11,B,放量拉升,111001,山玻转债,207.59,+4.68%,-1.84%,1.04%,0.0,"放量2.6x (均量1837手/轮, 峰值4709手) 成交额5.16亿 ⚠️强赎"
09:38:26,B,正股大跌转债抗跌,123222,博俊转债,152.88,-0.97%,-3.19%,33.78%,0.3,正股大跌-3.2% 转债仅-1.0% 抗跌
09:38:35,B,正股大跌转债抗跌,123065,宝莱转债,125.00,-0.74%,-3.00%,24.19%,0.3,正股大跌-3.0% 转债仅-0.7% 抗跌
09:38:55,B,正股大跌转债抗跌,127080,声迅转债,290.22,-0.98%,-4.25%,26.87%,0.9,正股大跌-4.2% 转债仅-1.0% 抗跌
09:41:25,B,正股大跌转债抗跌,128127,文科转债,114.35,-0.15%,-3.89%,13.48%,1.3,正股大跌-3.9% 转债仅-0.1% 抗跌
09:41:40,B,股价大涨转债滞涨,113658,密卫转债,143.54,+0.81%,+3.88%,25.39%,0.9,正股大涨+3.9% 转债仅+0.8% 偏离3.1%
09:41:45,B,放量拉升,113644,艾迪转债,136.00,+1.16%,+0.68%,0.31%,0.4,"放量3.6x (均量388手/轮, 峰值1405手) 成交额0.57亿 ⚠️强赎"
09:42:54,B,正股大跌转债抗跌,110084,贵燃转债,129.62,-0.37%,-3.04%,20.30%,0.6,正股大跌-3.0% 转债仅-0.4% 抗跌 🔗板块 地下管网/氢能源(均涨+2.4%)
09:43:39,B,正股大跌转债抗跌,123222,博俊转债,152.98,-0.90%,-3.35%,34.08%,0.4,正股大跌-3.4% 转债仅-0.9% 抗跌
09:44:27,B,放量拉升,111001,山玻转债,208.50,+5.14%,-2.35%,2.01%,0.0,"放量2.6x (均量1495手/轮, 峰值3892手) 成交额7.41亿 ⚠️强赎"
09:46:26,B,正股大跌转债抗跌,128127,文科转债,114.42,-0.09%,-3.89%,13.55%,1.7,正股大跌-3.9% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.5%)
09:47:04,B,股价大涨转债滞涨,123183,海顺转债,139.30,+0.98%,+4.52%,16.80%,1.3,正股大涨+4.5% 转债仅+1.0% 偏离3.5%
09:47:57,B,正股大跌转债抗跌,110084,贵燃转债,129.38,-0.55%,-3.04%,20.08%,0.5,正股大跌-3.0% 转债仅-0.6% 抗跌 🔗板块 地下管网/氢能源(均涨+2.9%)
09:48:41,B,正股大跌转债抗跌,123222,博俊转债,152.85,-0.99%,-3.40%,34.04%,0.4,正股大跌-3.4% 转债仅-1.0% 抗跌
09:51:26,B,正股大跌转债抗跌,128127,文科转债,114.40,-0.11%,-4.14%,13.82%,1.9,正股大跌-4.1% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.5%)
09:51:37,B,放量拉升,111001,山玻转债,207.61,+4.69%,-2.18%,1.40%,0.0,"放量2.5x (均量1171手/轮, 峰值2951手) 成交额10.12亿 ⚠️强赎"
09:51:51,B,超跌修复,127055,精装转债,246.38,-3.76%,-1.63%,24.00%,0.0,转债超跌-3.8% vs 正股-1.6% 偏离2.1% 修复空间大
09:52:06,B,股价大涨转债滞涨,123183,海顺转债,139.00,+0.76%,+3.09%,18.17%,0.4,正股大涨+3.1% 转债仅+0.8% 偏离2.3%
09:52:49,B,正股大跌转债抗跌,127034,绿茵转债,127.03,-0.79%,-3.29%,27.60%,0.4,正股大跌-3.3% 转债仅-0.8% 抗跌
09:55:11,B,正股大跌转债抗跌,110084,贵燃转债,129.30,-0.61%,-3.04%,20.00%,0.5,正股大跌-3.0% 转债仅-0.6% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.9%)
09:56:28,B,正股大跌转债抗跌,128127,文科转债,114.31,-0.19%,-4.38%,14.02%,2.2,正股大跌-4.4% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.3%)
09:56:38,B,放量拉升,111001,山玻转债,207.01,+4.39%,-3.38%,2.36%,0.8,"放量4.2x (均量926手/轮, 峰值3899手) 成交额11.39亿 ⚠️强赎"
09:56:51,B,超跌修复,127055,精装转债,245.04,-4.28%,-1.93%,23.69%,0.1,转债超跌-4.3% vs 正股-1.9% 偏离2.4% 修复空间大
09:57:48,B,股价大涨转债滞涨,113658,密卫转债,143.79,+0.99%,+3.95%,25.53%,0.8,正股大涨+4.0% 转债仅+1.0% 偏离3.0%
09:59:54,B,正股大跌转债抗跌,127080,声迅转债,290.80,-0.78%,-3.24%,25.80%,0.4,正股大跌-3.2% 转债仅-0.8% 抗跌
10:00:13,B,正股大跌转债抗跌,110084,贵燃转债,129.19,-0.70%,-3.55%,20.53%,0.7,正股大跌-3.5% 转债仅-0.7% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.9%)
10:01:29,B,正股大跌转债抗跌,128127,文科转债,114.26,-0.23%,-4.87%,14.56%,2.9,正股大跌-4.9% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.0%)
10:01:34,B,股价大涨转债滞涨,123183,海顺转债,139.26,+0.95%,+4.14%,17.19%,1.0,正股大涨+4.1% 转债仅+0.9% 偏离3.2%
10:01:43,B,放量拉升,111001,山玻转债,204.50,+3.12%,-4.57%,2.39%,0.0,"放量2.5x (均量588手/轮, 峰值1495手) 成交额12.36亿 ⚠️强赎"
10:01:52,B,超跌修复,127055,精装转债,243.27,-4.97%,-2.30%,23.27%,0.4,转债超跌-5.0% vs 正股-2.3% 偏离2.7% 修复空间大
10:02:48,B,股价大涨转债滞涨,113658,密卫转债,143.56,+0.83%,+3.28%,26.14%,0.4,正股大涨+3.3% 转债仅+0.8% 偏离2.4%
10:05:16,B,正股大跌转债抗跌,110084,贵燃转债,129.20,-0.69%,-4.31%,21.50%,1.4,正股大跌-4.3% 转债仅-0.7% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.6%)
10:05:44,B,正股大跌转债抗跌,123251,华医转债,300.50,-0.83%,-3.01%,3.82%,0.2,正股大跌-3.0% 转债仅-0.8% 抗跌
10:06:31,B,正股大跌转债抗跌,128127,文科转债,114.30,-0.20%,-4.62%,14.30%,2.5,正股大跌-4.6% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.2%)
10:06:36,B,股价大涨转债滞涨,123183,海顺转债,139.20,+0.91%,+3.99%,17.31%,0.9,正股大涨+4.0% 转债仅+0.9% 偏离3.1%
10:06:46,B,放量拉升,111001,山玻转债,202.55,+2.14%,-4.96%,1.82%,0.2,"放量3.5x (均量467手/轮, 峰值1616手) 成交额13.17亿 ⚠️强赎"
10:07:42,B,正股大跌转债抗跌,127080,声迅转债,290.19,-0.99%,-3.20%,25.47%,0.3,正股大跌-3.2% 转债仅-1.0% 抗跌
10:07:52,B,股价大涨转债滞涨,113658,密卫转债,143.40,+0.71%,+3.10%,26.21%,0.4,正股大涨+3.1% 转债仅+0.7% 偏离2.4%
10:10:21,B,正股大跌转债抗跌,110084,贵燃转债,129.11,-0.76%,-4.82%,22.06%,2.0,正股大跌-4.8% 转债仅-0.8% 抗跌 🔗板块 地下管网/西部大开发(均涨+2.3%)
10:11:35,B,正股大跌转债抗跌,128127,文科转债,114.25,-0.24%,-4.62%,14.25%,2.4,正股大跌-4.6% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.2%)
10:11:40,B,股价大涨转债滞涨,123183,海顺转债,139.13,+0.86%,+3.54%,17.76%,0.6,正股大涨+3.5% 转债仅+0.9% 偏离2.7%
10:11:49,B,放量拉升,111001,山玻转债,203.71,+2.73%,-4.44%,1.86%,0.9,"放量4.4x (均量401手/轮, 峰值1749手) 成交额13.77亿 ⚠️强赎"
10:12:55,B,股价大涨转债滞涨,113658,密卫转债,143.46,+0.76%,+3.40%,25.91%,0.5,正股大涨+3.4% 转债仅+0.8% 偏离2.6%
10:13:51,B,正股大跌转债抗跌,127037,银轮转债,697.25,+0.56%,-3.00%,40.00%,1.2,正股大跌-3.0% 转债仅0.6% 抗跌
10:16:39,B,正股大跌转债抗跌,128127,文科转债,114.27,-0.22%,-4.87%,14.57%,2.9,正股大跌-4.9% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.0%)
10:16:53,B,放量拉升,111001,山玻转债,203.53,+2.63%,-5.34%,2.73%,0.0,"放量2.7x (均量227手/轮, 峰值610手) 成交额14.27亿 ⚠️强赎"
10:17:07,B,股价大涨转债滞涨,123183,海顺转债,139.32,+0.99%,+3.32%,18.18%,0.4,正股大涨+3.3% 转债仅+1.0% 偏离2.3%
10:18:12,B,超跌修复,127092,运机转债,279.84,-1.29%,+0.77%,20.86%,0.0,转债超跌-1.3% vs 正股+0.8% 偏离2.1% 修复空间大
10:18:39,B,正股大跌转债抗跌,123251,华医转债,300.40,-0.86%,-3.00%,3.77%,0.2,正股大跌-3.0% 转债仅-0.9% 抗跌
10:18:53,B,正股大跌转债抗跌,127037,银轮转债,688.49,-0.71%,-4.55%,40.49%,1.4,正股大跌-4.5% 转债仅-0.7% 抗跌
10:20:03,B,超跌修复,127055,精装转债,240.57,-6.03%,-2.92%,22.67%,1.1,转债超跌-6.0% vs 正股-2.9% 偏离3.1% 修复空间大
10:21:42,B,正股大跌转债抗跌,128127,文科转债,114.29,-0.21%,-4.62%,14.29%,2.5,正股大跌-4.6% 转债仅-0.2% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.2%)
10:21:56,B,放量拉升,111001,山玻转债,204.45,+3.10%,-3.85%,1.59%,0.6,"放量4.0x (均量285手/轮, 峰值1151手) 成交额14.83亿 ⚠️强赎"
10:23:14,B,超跌修复,127092,运机转债,282.28,-0.43%,+1.65%,20.86%,0.0,转债超跌-0.4% vs 正股+1.6% 偏离2.1% 修复空间大
10:23:41,B,正股大跌转债抗跌,123251,华医转债,300.04,-0.98%,-3.13%,3.79%,0.2,正股大跌-3.1% 转债仅-1.0% 抗跌
10:25:05,B,超跌修复,127055,精装转债,241.73,-5.57%,-2.84%,23.16%,0.5,转债超跌-5.6% vs 正股-2.8% 偏离2.7% 修复空间大
10:26:42,B,正股大跌转债抗跌,128127,文科转债,114.31,-0.18%,-4.62%,14.31%,2.1,正股大跌-4.6% 转债仅-0.2% 抗跌
10:26:56,B,放量拉升,111001,山玻转债,203.29,+2.51%,-5.04%,2.28%,0.2,"放量3.3x (均量164手/轮, 峰值544手) 成交额15.08亿 ⚠️强赎"
10:28:15,B,超跌修复,127092,运机转债,280.20,-1.16%,+0.95%,20.80%,0.0,转债超跌-1.2% vs 正股+0.9% 偏离2.1% 修复空间大
10:28:24,B,股价大涨转债滞涨,123131,奥飞转债,274.25,+0.96%,+3.27%,26.50%,0.4,正股大涨+3.3% 转债仅+1.0% 偏离2.3%
10:31:46,B,正股大跌转债抗跌,128127,文科转债,114.25,-0.24%,-4.62%,14.25%,2.0,正股大跌-4.6% 转债仅-0.2% 抗跌
10:32:44,B,超跌修复,127055,精装转债,241.04,-5.84%,-2.89%,22.88%,0.8,转债超跌-5.8% vs 正股-2.9% 偏离2.9% 修复空间大
10:32:49,B,放量拉升,111001,山玻转债,202.70,+2.22%,-4.96%,1.90%,0.2,"放量3.3x (均量198手/轮, 峰值649手) 成交额15.42亿 ⚠️强赎"
10:33:18,B,超跌修复,127092,运机转债,279.59,-1.38%,+0.99%,20.49%,0.2,转债超跌-1.4% vs 正股+1.0% 偏离2.4% 修复空间大
10:33:28,B,股价大涨转债滞涨,123131,奥飞转债,273.14,+0.55%,+3.27%,25.99%,0.6,正股大涨+3.3% 转债仅+0.6% 偏离2.7%
10:34:50,B,正股大跌转债抗跌,128127,文科转债,114.22,-0.27%,-5.11%,14.80%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
10:34:50,B,超跌修复,127055,精装转债,240.39,-6.10%,-2.92%,22.58%,1.2,转债超跌-6.1% vs 正股-2.9% 偏离3.2% 修复空间大
10:34:50,B,股价大涨转债滞涨,123131,奥飞转债,273.56,+0.70%,+3.17%,26.30%,0.4,正股大涨+3.2% 转债仅+0.7% 偏离2.5%
10:34:50,B,超跌修复,127092,运机转债,279.85,-1.28%,+0.88%,20.73%,0.0,转债超跌-1.3% vs 正股+0.9% 偏离2.2% 修复空间大
10:34:56,B,超跌修复,113615,金诚转债,750.05,-2.42%,-0.38%,20.75%,0.0,转债超跌-2.4% vs 正股-0.4% 偏离2.0% 修复空间大
10:35:21,B,放量拉升,111001,山玻转债,204.30,+3.02%,-4.32%,2.01%,0.0,"放量2.8x (均量255手/轮, 峰值706手) 成交额15.51亿 ⚠️强赎"
10:36:01,B,超跌修复,127088,赫达转债,188.99,-2.08%,-0.08%,33.76%,0.0,转债超跌-2.1% vs 正股-0.1% 偏离2.0% 修复空间大
10:36:40,B,超跌修复,127055,精装转债,239.28,-6.53%,-2.70%,21.75%,3.0,转债超跌-6.5% vs 正股-2.7% 偏离3.8% 修复空间大
10:36:40,B,正股大跌转债抗跌,128127,文科转债,114.24,-0.25%,-5.11%,14.82%,2.7,正股大跌-5.1% 转债仅-0.2% 抗跌
10:36:40,B,超跌修复,127092,运机转债,280.00,-1.23%,+1.10%,20.54%,0.1,转债超跌-1.2% vs 正股+1.1% 偏离2.3% 修复空间大
10:36:40,B,超跌修复,127088,赫达转债,188.87,-2.14%,+0.04%,33.51%,0.0,转债超跌-2.1% vs 正股+0.0% 偏离2.2% 修复空间大
10:36:40,B,超跌修复,113615,金诚转债,746.88,-2.83%,-0.68%,20.61%,0.0,转债超跌-2.8% vs 正股-0.7% 偏离2.1% 修复空间大
10:37:13,B,放量拉升,111001,山玻转债,205.56,+3.66%,-2.86%,1.10%,0.0,"放量2.7x (均量973手/轮, 峰值2642手) 成交额15.83亿 ⚠️强赎"
10:38:47,B,股价大涨转债滞涨,123131,奥飞转债,274.30,+0.98%,+3.31%,26.46%,0.4,正股大涨+3.3% 转债仅+1.0% 偏离2.3%
10:41:43,B,超跌修复,127055,精装转债,238.02,-7.02%,-2.38%,20.70%,6.2,转债超跌-7.0% vs 正股-2.4% 偏离4.6% 修复空间大
10:41:43,B,正股大跌转债抗跌,128127,文科转债,114.22,-0.27%,-5.11%,14.80%,2.6,正股大跌-5.1% 转债仅-0.3% 抗跌
10:41:43,B,超跌修复,127092,运机转债,278.59,-1.73%,+0.77%,20.32%,0.2,转债超跌-1.7% vs 正股+0.8% 偏离2.5% 修复空间大
